#,Year,OrientationJ mode,Field / application,Reference,Usage extract,DOI,Title,Journal,Authors
288,2026,Distribution (directionality histogram),"electrospun fibers, bone tissue engineering",Zhou et al. (2026),We used the OrientationJ Distribution tool to quantify the percentage of different groups of electrospun fibres in each angular orientation.,10.1016/j.bioactmat.2026.05.041,Immunomodulatory cytoskeleton of bionic periosteum affects mitochondrial dynamics to promote osteogenesis,Bioactive Materials,"Zhou T, Ni Z, Huang Y, Huang Z, Guo Q, Wu J, Zhu H, Jiang X, Zhou L, Wang W, Xi K, Gu Y, Cui W, Chen L."
289,2026,Distribution (directionality histogram),materials/nanofibers,Vihmar et al. (2026),Fiber orientation distributions were measured using the ImageJ plugin OrientationJ.,10.3389/frobt.2026.1736915,Fibrous contextual embodiments formed by task-invariant continuous blow spinning in dynamic environments,Frontiers in Robotics and AI,"Vihmar M, Boiko R, Pankratov KA, Kaasik F, Ojavee K, Must I."
290,2026,orientation/coherency analysis,materials/nanofibers,Marcelin et al. (2026),Fiber diameter and fiber alignment were calculated from 4 images (2574×) from these locations using the General Image Fiber Tool (GIFT) [ 26 ] and OrientationJ plugin in FIJI,,Localized Delivery of a Small Molecule Hedgehog Agonist via Poly(ε‐caprolactone) Scaffolds Enhances Tendon‐to‐Bone Integration,,"Marcelin J, Madi R, Kamalitdinov T, Jiang X, Kim D, Mauck R, Kuntz A, Dyment N."
291,2026,orientation/coherency analysis,materials/nanofibers,Livrinska et al. (2026),The orientation of the fibers was determined using the OrientationJ plugin [ 31 ] to the ImageJ software 1.51w.,,Bacterial Nanocellulose Wound Dressings with Gentamicin-Loaded Chitosan Nanoparticles for Surgical Site Infection Management,,"Livrinska Trpeska L, Petrushevska M, Geskovski N, Simonoska Crcarevska M, Djurdjic B, Vuksanovich V, Jančič U, Gorgieva S."
292,2026,Distribution (directionality histogram),materials/nanofibers,Dos et al. (2026),The orientation distribution was quantified from SEM micrographs and obtained using OrientationJ,10.1021/acspolymersau.6c00010,Insights into Structural Transformation during Oxidative Stabilization of Pan Nanofibers Reinforced with Carbon Nanotubes and Graphene Nanoplatelets,ACS Polymers Au,"Dos Reis FC, Marini J, Dos Anjos EGR, Rezende MC, Passador FR."
293,2026,Fiber orientation analysis,materials/nanofibers,Oosthuysen et al. (2026),"Fiber diameter and orientation, and pore size (n=6) were determined from SEM images using open source image processing software Fiji with DiameterJ and OrientationJ plugins.",10.1016/j.bbiosy.2026.100133,Electrospun poly-4-hydroxybuterate scaffolds enable local zero-order estradiol delivery and promote collagen maturation in a hypoestrogenic rat model for pelvic organ prolapse repair,Biomaterials and Biosystems,"Oosthuysen A, Weitsz C, Roovers JW, Theron J, Guler Z."
294,2026,Distribution (directionality histogram),materials/nanofibers,Trifan et al. (2026),Fibre orientation was quantified on low-magnification SEM micrographs using the OrientationJ plugin implemented in Fiji.,10.3390/ma19112375,MAPLE Deposition of Resorbable Calcium Phosphates on Electrospun Nylon Nanofibres for Bone Tissue Engineering,Materials,"Trifan A, Popescu-Pelin G, Popescu RC, Cristea DD, Liciu E, Busuioc C."
295,2026,Distribution (directionality histogram),materials/nanofibers,Liu et al. (2026),"the feature ""OrientationJ Distribution"" was executed with an object size of one pixel and the cubic spline gradient with the parameters of 60 % coherence and 1 % energy.",10.1016/j.bioactmat.2025.09.026,Topology-optimized melt-electrowritten PCL patch for abdominal wall reconstruction,Bioactive Materials,"Liu Y, von Witzleben M, Duin S, Bernhardt A, Gelinsky M."
296,2026,Distribution (directionality histogram),materials/nanofibers,Tort et al. (2026),"The orientation and diameter of the fibers were determined using OrientationJ and DiameterJ, respectively.",10.1021/acsomega.5c12433,AI-Driven Image Analysis for Nanofiber Characterization: From Diameter Measurement to Multiparameter Assessment,ACS Omega,"Tort S, Negiz H, Tunçel E, Demirezen G, Demirezen MU."
297,2026,Distribution (directionality histogram),"muscle tissue engineering, cultured meat",Kamel et al. (2026),The relative frequency (%) of myotube orientation was determined using the OrientationJ plugin (Version 2.0.7),10.3390/foods15101715,Engineering a Compartmentalized Multi-Cell Co-Culture Hydrogel System Using Beeswax/Fucoidan/Alginate for Cultured Meat Modeling,Foods,"Kamel J, Lee JY, Afrin S, Yadav U, Yadav CJ, Han SS, Park KM."
298,2026,Coherency map,musculoskeletal tissue engineering,Spagnuolo et al. (2026),"Collagen fibril orientation, dispersion, and coherency were analyzed using the OrientationJ and Directionality plugins in ImageJ.",10.1002/advs.202509313,Bioprinting of Microtissues Within Mechanically Tunable Support Baths to Engineer Anisotropic Musculoskeletal Tissues,Advanced Science,"Spagnuolo FD, Kronemberger GS, Kelly DJ."
299,2026,Orientation/coherency analysis,neuronal alignment and nanofibers,Morita et al. (2026),"The orientation of CLDN11 and nanofibers was quantified using the ImageJ OrientationJ plugin (NIH, Bethesda, MD, USA).",10.1016/j.stemcr.2026.102923,Nanofiber-based platform for quantitative analysis of human oligodendrocyte ensheathment with pharmacological perturbations,Stem Cell Reports,"Morita S, Kondo T, Imamura K, Sagara Y, Tsukita K, Tokuda H, Kaneda Y, Izumo T, Nakao Y, Inoue H."
300,2026,Dominant Direction,neuronal microglia alignment,Ferro et al. (2026),we applied the ImageJ plug-in OrientationJ to assess the orientation of these tubular microglia relative to the dendrites of PYR neurons,10.1016/j.celrep.2026.116926,"Fn14 is an activity-dependent, Bmal1-regulated cytokine receptor that induces rod-like microglia and restricts neuronal activity in vivo",Cell Reports,"Ferro A, Vita DJ, Fallon T, Arshad A, Boyd L, Stanley T, Lin Q, Berisha A, Vrudhula U, Gomez AM, Sanchez-Martin I, Borniger JC, Cheadle L."
301,2026,Coherency and energy metrics,scleral collagen fibers in glaucoma,Masuda et al. (2026),"Local two-dimensional fiber orientations were quantified using OrientationJ, with coherency (an index of local structural anisotropy) and energy (an index reflecting the magnitude of orientation information) as outcome variables.",10.1007/s00417-025-07112-0,Orientation-based evaluation of scleral collagen fibers in uveitic secondary glaucoma,Graefe's Archive for Clinical and Experimental Ophthalmology,"Masuda R, Kusuhara S, Mori S, Matsumiya W, Sakamoto M, Yamada-Nakanishi Y, Nakamura M."
302,2026,Coherency map,spindle microtubule organization,Gohel et al. (2026),"Spindle MT organization was quantified from α-tubulin images using the OrientationJ coherency index in Fiji/ImageJ, which reports local filament alignment (0=random, 1=perfectly ordered)",10.1242/jcs.264165,A non-transcriptional mitotic function of POU/Oct factors ensures spindle assembly and chromosome segregation,Journal of Cell Science,"Gohel P, Tsarouhas V, Kansara L, Sajwan S, Engström Y."
303,2026,Dominant Direction,stem cells and liver tissue engineering,Xue et al. (2026),"Filament orientation was analyzed with the OrientationJ plugin, using the cell axis as 0° reference.",10.1016/j.bioactmat.2026.05.025,Mechanically preconditioned stem cells therapy using bioinspired liver-mimetic microspheres for functional liver repair,Bioactive Materials,"Xue T, Zhang J, Wang B, Li F, Chen G, Xu Y, Luo Y, Sun J, Lao YH, Wang J, Wang H, Ju E, Xie X, Yao H, Li M, Tao Y."
304,2026,orientation/coherency analysis,vascular graft fiber alignment,Fahad et al. (2026),Anisotropy of the fiber alignment was evaluated using the OrientationJ plugin.,10.1016/j.bioactmat.2026.03.040,Ex vivo endothelialized cECM-enriched core-shell fibrous vascular graft promotes rapid regenerative remodeling in vivo,Bioactive Materials,"Fahad MAA, Choi M, Lee HY, Shanto PC, Mahbub MSI, Jahan N, Park M, Kim N, Bae SH, Lee BT."
