#,Year,OrientationJ mode,Field / application,Reference,Usage extract,DOI,Title,Journal,Authors
247,2025,Coherency map,"collagen bioresins, deep vat printing",Winkelbauer et al. (2025),Alignment was quantified using the Fiji OrientationJ plugin (available at http://bigwww.epfl.ch/demo/orientationj ).,10.1002/adhm.202405105,Rapid Deep Vat Printing Using Photoclickable Collagen-Based Bioresins,Advanced Healthcare Materials,"Winkelbauer M, Hasenauer A, Rütsche D, Liu H, Janiak J, Nguyen M, Christman KL, Zenobi-Wong M, Chansoria P."
248,2025,Distribution (directionality histogram),collagen/ECM in tumors,Gao et al. (2025),Orientation distributions of collagen around intact single microchannels for each cell line (OrientationJ).,10.1126/sciadv.adz4291,Multicellular force coordination constructs microchannel networks for barrier-free metastasis across extracellular matrix,Science Advances,"Gao H, Cheng B, Jin G, Han Y, Tian Q, Zhou Y, Zhao X, Liu Y, Cao C, Zhu L, Zhang J, Wang L, Xu B, Guo H, Lin M, Yang J, Xu F."
249,2025,Coherency map,collagen/ECM in tumors,Sensi et al. (2025),"Coherency (C) for collagen and elastin was quantified to evaluate the local prevailing orientation of the images, employing OrientationJ.",10.1016/j.tranon.2025.102523,Patient-derived extracellular matrix from decellularized high-grade serous ovarian carcinoma tissues as a biocompatible support for organoid growth,Translational Oncology,"Sensi F, Spagnol G, Repetto O, D'Angelo E, Biccari A, Marangio A, Guerriero A, Castillo AAM, Vogliardi A, Zanrè E, Cimetta E, Schiavi F, Sperti F, Marchetti M, de Tommasi O, Noventa M, Saccardi C, Spolverato G, Tozzi R, Agostini M."
250,2025,Orientation analysis,collagen/ECM in tumors,Olmedo-Moreno et al. (2025),Orientation analysis of Sirius Red stained samples was performed with the ImageJ plugin OrientationJ.,10.7150/thno.104143,Glioblastoma progression is hindered by melatonin-primed mesenchymal stromal cells through dynamic intracellular and extracellular reorganizations,Theranostics,"Olmedo-Moreno L, Panadero-Morón C, Sierra-Párraga JM, Bueno-Fernández R, Norton ES, Aguilera Y, Mellado-Damas N, García-Tárraga P, Morales-Gallel R, Antequera-Martínez M, Durán RV, Ferrer-Lozano J, Escames G, García-Verdugo JM, Martin-Montalvo A, Guerrero-Cázares H, Capilla-González V."
251,2025,Coherency map; Measure,collagen/actin alignment in epidermis,Oak et al. (2025),the dominant orientation and coherency of the collagen network were calculated using OrientationJ,10.1126/sciadv.adq0638,Wnt signaling modulates mechanotransduction in the epidermis to drive hair follicle regeneration,Science Advances,"Oak ASW, Bagchi A, Brukman MJ, Toth J, Ford J, Zheng Y, Nace A, Yang R, Hsieh JC, Hayden JE, Ruthel G, Ray A, Kim E, Shenoy VB, Cotsarelis G."
252,2025,Distribution (directionality histogram),dental epithelial-mesenchymal tissue engineering,Huang et al. (2025),"The alignment angle distribution was simulated with the OrientationJ plugin in ImageJ (NIH, Bethesda, MD) normalized by Gaussian nonlinear regression.",10.1016/j.mtbio.2025.102451,Tooth-on-a-chip to engineer early dental epithelial-mesenchymal interaction,Materials Today Bio,"Huang C, Sanaei F, Zhang W, Yelick PC, Ji W, Yang F, Walboomers XF."
253,2025,Distribution (directionality histogram),extracellular matrix fiber alignment,Thompson et al. (2025),"Alignment is computed by the plug-in OrientationJ, which calculates the proportion of fibers within an image orientated in a similar direction.",10.1083/jcb.202411167,"Multiple golgins are required to support extracellular matrix secretion, modification, and assembly",Journal of Cell Biology,"Thompson G, Hoyle A, Lewis PA, Prada-Sanchez ME, Swift J, Heesom K, Lowe M, Stephens D, Stevenson NL."
254,2025,Dominant Direction,fibre tracing in biomedical images,Arafat et al. (2025),"Twombli also incorporates OrientationJ to obtain the global alignment metric, determining the dominant direction of the fibrial structure.",10.1371/journal.pone.0320006,Fibre tracing in biomedical images: An objective comparison between seven algorithms,PLOS ONE,"Arafat Y, Cuesta-Apausa C, Castellano E, Reyes-Aldasoro CC."
255,2025,Dominant Direction,fibronectin/ECM in glioblastoma,Crestani et al. (2025),"The function ""OrientationJ dominant direction"" was then applied to each nucleus with a custom‐written macro and their distribution plotted in GraphPad Prism for visualization.",10.1002/advs.202416526,Loss of Fibronectin Fiber Tension in Glioblastoma is Associated with Microvascular Proliferations and Immune Cell Infiltration,Advanced Science,"Crestani M, Gerber I, Mieville A, Frauenknecht K, Maragkou T, Hortobagyi T, Vogel V."
256,2025,Distribution (directionality histogram),food materials / meat analogue texture,Tang et al. (2025),SEM images (×1500 magnification) were first converted to 8-bit grayscale and then analyzed using OrientationJ Distribution to extract the angular distribution of fiber orientation.,10.3390/foods14142479,Development of Soy-Based Meat Analogues via Wet Twin-Screw Extrusion: Enhancing Textural and Structural Properties Through Whole Yeast Powder Supplementation,Foods,"Tang S, Li Y, Wang X, Zhou L, Liu Z, Jiang L, Guo C, Yi J."
